"Source_Plate","Location","Sample.NTC.Control","Treatment","Resident_Rhizobial_Level","Reaction.Mix","Year","Universal","G22","G24","G22_First_Correction","Universal_First_Correction","G24_First_Correction","dilution_number","dilution_factor","G22_Second_Correction","Universal_Second_Correction","G24_Second_Correction"
"Plate_1_04Mar2026","Carrington","AvCH_205 2025 -4 Uninoc","Uninoc","High","U_G22",2025,112.4,14.42,NA,115.36,899.2,NA,4,10000,1153600,8992000,NA
"Plate_1_04Mar2026","Carrington","AvCH_206 2025 -4 Ino","G24","High","U_G22",2025,78.81,8.016,NA,64.128,630.48,NA,4,10000,641280,6304800,NA
"Plate_1_04Mar2026","Carrington","AvCH_303 2025 -4 Ino","G24","High","U_G22",2025,118.1,2.615,NA,20.92,944.8,NA,4,10000,209200,9448000,NA
"Plate_1_04Mar2026","Carrington","AvCH_305 2025 -4 Uninoc","Uninoc","High","U_G22",2025,125.4,0.775,NA,6.2,1003.2,NA,4,10000,62000,10032000,NA
"Plate_1_04Mar2026","Carrington","AvCH_306 2025 -4 G22","G22","High","U_G22",2025,18.21,0.757,NA,6.056,145.68,NA,4,10000,60560,1456800,NA
"Plate_1_04Mar2026","Carrington","AvCH_401 2025 -4 Uninoc","Uninoc","High","U_G22",2025,1.12,0,NA,0,8.96,NA,4,10000,0,89600,NA
"Plate_1_04Mar2026","Carrington","AvCH_404 2025 -4 G22","G22","High","U_G22",2025,44.42,0,NA,0,355.36,NA,4,10000,0,3553600,NA
"Plate_1_04Mar2026","Carrington","AvCH_406 2025 -4 Ino","G24","High","U_G22",2025,37.99,0,NA,0,303.92,NA,4,10000,0,3039200,NA
"Plate_1_04Mar2026","Minot","AvML_504 2025 -4 Ino","G24","Low","U_G22",2025,284.5,0,NA,0,2276,NA,4,10000,0,22760000,NA
"Plate_1_04Mar2026","Carrington","AvCH_503 2025 -4 Ino","G24","High","U_G22",2025,91.96,0,NA,0,735.68,NA,4,10000,0,7356800,NA
"Plate_1_04Mar2026","Carrington","AvCH_504 2025 -4 G22","G22","High","U_G22",2025,7.379,0,NA,0,59.032,NA,4,10000,0,590320,NA
"Plate_1_04Mar2026","Carrington","AvCH_601 2025 -4 G22","G22","High","U_G22",2025,61.91,0,NA,0,495.28,NA,4,10000,0,4952800,NA
